P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.5,-0.7928662,-0.65306747,0.6564557,0.61485803,0.6215471,-0.28340825,-0.4683957,-0.7549402,0.6568105,0.6147554,0.62144905,1.05,1.05,1.07,0.99251914,0.9951062,1.012261,0.0,-0.6508423,-0.8909682,-2.06451,-2.6796837,-2.6058125
-0.50008893,-0.82127964,-0.68517727,0.6679719,0.67638946,0.604583,-0.31626472,-0.49487984,-0.76637655,0.66779363,0.6762692,0.6047377,1.05,1.05,1.07,0.99062353,0.98906285,1.0124254,0.0,-0.55816025,-0.72189015,-2.0445032,-2.7304912,-2.4584389
-0.5,-0.7304836,-0.5962045,0.5648163,0.58876765,0.6280651,-0.22131632,-0.39868116,-0.7545362,0.56446606,0.5885964,0.62826395,1.05,1.05,1.07,1.0013161,0.9988662,1.0123627,7.7864526e-10,-0.81599224,-1.2773647,-1.9896151,-2.7834074,-2.8944912
-0.5000165,-0.7359213,-0.60443646,0.5743804,0.560031,0.6612538,-0.21628445,-0.40573284,-0.7679626,0.57434714,0.560031,0.66151917,1.05,1.05,1.07,1.0008022,1.0009146,1.0103314,0.0,-0.8299519,-1.2964158,-2.0106754,-2.7478292,-2.9807851
-0.5,-0.7871556,-0.6595558,0.5831186,0.65193117,0.65933377,-0.2621145,-0.4458517,-0.80282253,0.5832429,0.6516606,0.6591613,1.05,1.05,1.07,0.998586,0.9918584,1.0088494,0.0,-0.6940429,-1.0790949,-1.9685133,-2.8426924,-2.8385813
-0.56429625,-0.82153034,-0.7552751,0.6884907,0.69142544,0.69998705,-0.31817132,-0.5701773,-0.8484265,0.6883663,0.69207275,0.6987757,1.05,1.05,1.07,0.98858356,0.98591083,1.0048616,0.0,-0.86481637,-0.9605704,-2.2910311,-3.0114987,-2.9507356
-0.5,-0.7943089,-0.64737606,0.6712726,0.64372444,0.5727272,-0.30055493,-0.4732629,-0.72865987,0.6710712,0.6436304,0.57273775,1.05,1.05,1.07,0.990877,0.9928795,1.01544,0.0,-0.60733634,-0.7878358,-2.0702062,-2.6780865,-2.4263334
-0.5,-0.75164145,-0.60897946,0.6326949,0.5810712,0.5989939,-0.25299573,-0.43137372,-0.72517836,0.6327298,0.5812475,0.5991278,1.05,1.05,1.07,0.99533105,0.99912184,1.0146142,0.0,-0.7395004,-1.0487324,-2.0623932,-2.6677654,-2.6603034
-0.5,-0.8149901,-0.6734006,0.6534467,0.6947918,0.5835572,-0.31456712,-0.48453695,-0.75887483,0.6530862,0.69464135,0.58367074,1.05,1.05,1.07,0.99170077,0.9878747,1.0137275,0.0,-0.5569298,-0.74808735,-2.02241,-2.7679703,-2.434372
-0.5,-0.75497866,-0.6230727,0.5865019,0.58688074,0.6567197,-0.23446192,-0.42199236,-0.7740788,0.5863572,0.58696896,0.6571772,1.05,1.05,1.07,0.9993056,0.9982045,1.0101982,0.0,-0.7773502,-1.1963058,-2.0080132,-2.761242,-2.9029014
-0.5,-0.74100155,-0.6101496,0.57358646,0.56818545,0.6635764,-0.21977949,-0.40847373,-0.7731235,0.57367235,0.56795764,0.6638031,1.05,1.05,1.07,1.0007755,1.0000956,1.0099734,0.0,-0.8226347,-1.2842529,-2.0058236,-2.7597578,-2.9760928
-0.5,-0.7752322,-0.64685065,0.56817156,0.6575228,0.6452105,-0.255311,-0.43292105,-0.79507124,0.56806487,0.6573942,0.64528906,1.05,1.05,1.07,0.9998866,0.9917715,1.0098345,0.0,-0.712628,-1.1242921,-1.9537127,-2.8667767,-2.8408515
-0.5002003,-0.80090934,-0.66728324,0.60278845,0.6973685,0.61325985,-0.28991383,-0.46083397,-0.78541595,0.60245144,0.69733,0.61334777,1.05,1.05,1.07,0.996226,0.98787117,1.0115037,0.0,-0.6171801,-0.92269784,-1.9668763,-2.8522944,-2.6306405
-0.5,-0.8144676,-0.67518103,0.6896972,0.6038759,0.64094025,-0.29858643,-0.4934026,-0.7638347,0.68962747,0.6041705,0.6410779,1.05,1.05,1.07,0.9896122,0.9952981,1.0109303,0.0,-0.61533976,-0.7903905,-2.101766,-2.6281304,-2.5719912
-0.5000627,-0.7146569,-0.5714122,0.5808123,0.58552516,0.57576114,-0.22430918,-0.3905905,-0.71255505,0.58095086,0.5852378,0.5762642,1.05,1.05,1.07,1.0000526,0.9998676,1.0163608,0.0,-0.81331563,-1.2334857,-2.013947,-2.7399318,-2.7436433
-0.5,-0.80800843,-0.6802549,0.64751965,0.5878426,0.6979754,-0.27251804,-0.47764844,-0.80377424,0.64757985,0.5884725,0.6982231,1.05,1.05,1.07,0.9935897,0.9964539,1.0068835,4.148185e-10,-0.6759386,-0.9675186,-2.0650074,-2.6857052,-2.826036
-0.5,-0.8320181,-0.70514756,0.65056247,0.63033324,0.6991695,-0.29296964,-0.497068,-0.8206683,0.6503711,0.6300704,0.69955003,1.05,1.05,1.07,0.9926521,0.99229366,1.0061437,1.3238788e-09,-0.6168628,-0.87088,-2.0405579,-2.730855,-2.7720776
-0.5,-0.7915712,-0.64309424,0.6835619,0.62551576,0.5726311,-0.29936942,-0.4743053,-0.72075796,0.6833348,0.62579566,0.57318896,1.05,1.05,1.07,0.9900445,0.9944518,1.0157421,0.0,-0.615834,-0.7819748,-2.0929718,-2.6390538,-2.4197583
-0.5,-0.76028335,-0.6183514,0.61512953,0.62851346,0.5856465,-0.26323003,-0.43333715,-0.73511696,0.61534196,0.62843907,0.585607,1.05,1.05,1.07,0.99622,0.99497294,1.014821,0.0,-0.70504427,-1.0216285,-2.0223658,-2.744336,-2.6213756
-0.56032383,-0.82253337,-0.75152797,0.6852805,0.6961894,0.6878623,-0.32064396,-0.563747,-0.8395533,0.6844877,0.6967207,0.6888141,1.05,1.05,1.07,0.9884041,0.9854112,1.0056643,1.4606953e-08,-0.82217443,-0.9257726,-2.2726808,-3.0068126,-2.8926034
