P0,P1,P2,P3,P4,P5,Q0,Q1,Q2,Q3,Q4,Q5,V0,V1,V2,V3,V4,V5,Theta0,Theta1,Theta2,Theta3,Theta4,Theta5
-0.50605863,-0.7078215,-0.6910481,0.69996595,0.6774434,0.69998705,-0.20424199,-0.5980255,-0.7112874,0.5727617,0.573278,0.5732836,1.05,1.0500001,1.0700002,0.98785853,0.9858486,1.0049025,6.3115203e-07,-0.8900168,-1.1940917,-1.9840664,-2.5396726,-2.6818633
-0.6444887,-0.6897734,-0.6981098,0.56001335,0.6999896,0.69998705,-0.20424199,-0.3672349,-0.85198706,0.56001335,0.59689415,0.56002116,1.05,1.0500001,1.0700008,1.000191,0.9850206,1.0064296,1e-06,-0.50354004,-1.1958743,-2.1892133,-2.6565425,-2.639563
-0.6250268,-0.6897734,-0.6968478,0.62835646,0.59831643,0.56002,-0.28623658,-0.43227,-0.84015805,0.69996595,0.67189074,0.68338555,1.0500005,1.0500002,1.0700005,1.0021613,1.0006742,1.0162268,7.7193187e-07,-1.1544873,-0.81740034,-2.6096525,-3.2156413,-2.6216335
-0.64697295,-0.87011135,-0.54496425,0.66033554,0.56049144,0.6988299,-0.20424199,-0.5456071,-0.83269477,0.6867708,0.560031,0.56296676,1.0500008,1.0500002,1.0700006,0.9879467,1.0023493,1.0048616,0.0,-0.50909317,-1.4227875,-2.6096525,-2.9947503,-3.2372043
-0.5,-0.86740685,-0.54496425,0.6797953,0.68663985,0.56002,-0.253597,-0.3672349,-0.7009698,0.69563115,0.6999896,0.56002,1.05,1.05,1.07,0.9983805,0.9853291,1.0176293,3.6512523e-07,-1.3040103,-1.3324624,-2.0833473,-3.3524215,-3.352659
-0.52899015,-0.7169148,-0.72786224,0.69996595,0.6999896,0.6886983,-0.254367,-0.5982714,-0.7448524,0.56001335,0.560031,0.62014437,1.0500007,1.0500003,1.07,0.98789966,1.0004731,1.0048616,0.0,-0.50354004,-1.3004817,-1.9200926,-2.5396726,-2.3054419
-0.64697295,-0.68997693,-0.63842654,0.69996595,0.5834272,0.6989999,-0.20424199,-0.5982714,-0.78149843,0.68776405,0.5658883,0.6481777,1.0500009,1.0500009,1.070001,0.9881217,1.0018991,1.0048616,1e-06,-1.2882609,-1.2895591,-2.6063936,-2.9626422,-3.1687627
-0.63384897,-0.87148863,-0.68667763,0.56001335,0.6999896,0.69088465,-0.33281144,-0.38958886,-0.85198706,0.69996595,0.6999896,0.5971529,1.05,1.0500009,1.070001,0.9878613,0.9850206,1.0149721,9.5204797e-07,-0.50354004,-0.570116,-2.2243733,-2.9601552,-2.6162214
-0.5,-0.871143,-0.567525,0.69996595,0.560031,0.6763561,-0.21290095,-0.39777097,-0.7630106,0.69996595,0.560031,0.65201044,1.05,1.0500009,1.0700003,0.9878608,0.9854349,1.0178907,1e-06,-1.3040103,-0.75922036,-2.309872,-2.7288854,-3.3521116
-0.56996584,-0.80335903,-0.6070609,0.69996595,0.6871735,0.5606993,-0.24133566,-0.52432424,-0.68513507,0.69996595,0.6999896,0.56002,1.0500008,1.05,1.07,0.98812294,0.9850206,1.0171148,8.6908136e-07,-1.1494689,-0.84117794,-2.4085813,-3.1445777,-2.3555717
